208554,1,1
208554,1,1
208554,1,-1
208554,2,-1
208554,1,1
208554,2,-1
208554,1,-1
208554,2,-1
208554,2,-1
208554,1,1
208554,1,1
208554,1,-1
208554,2,-1
208554,2,-1
208554,1,1
208554,2,-1
208554,1,-1
208554,1,1
208554,1,1
208554,2,-1
208554,2,-1
208554,2,-1
208554,1,-1
208554,2,-1
208554,1,1
208554,2,-1
208554,1,1
208554,2,-1
208554,1,-1
208554,2,-1
208554,2,-1
208554,1,-1
208554,2,-1
208554,1,1
208554,1,1
208554,1,-1
208554,1,1
208554,1,1
208554,1,1
208554,1,1
208554,1,-1
208554,1,-1
208554,1,1
208554,1,-1
208554,1,-1
208554,1,-1
208554,1,1
208554,2,1
208554,1,-1
208554,1,-1
208554,2,1
208554,1,-1
208554,2,-1
208554,1,-1
208554,2,1
208554,1,-1
208554,2,-1
208554,1,-1
208554,2,1
208554,1,-1
208554,1,-1
208554,2,1
208554,1,-1
208554,2,-1
208554,1,-1
208554,2,1
208554,1,-1
208554,2,-1
208554,1,-1
208554,2,1
208554,2,1
208554,1,1
208554,1,-1
208554,2,1
208554,2,1
208554,1,-1
208554,1,1
208554,2,1
208554,1,-1
208554,1,-1
